tweet_id,tweet_text,retweet_user
1876100578172113017,RT @itscarlosivan: Bad Bunny cantando “Pitorro de Coco” en La Casa Histórica de la Música en Cayey🇵🇷📷 https://t.co/slBevQpfro,@itscarlosivan
1876100584052494590,RT @Mattlockss: No quiero coger flaco quiero que nos tomemos 5 fernets mientras jugamos al tutti frutti y te rompo bien el orto  por puntos…,@Mattlockss
1876100584203501583,RT @whotfckisfrank: imagina estar odiándome y yo mientras así todos los días evitando la realidad con música https://t.co/JD4LFIqr3g,@whotfckisfrank
1876100586237816956,RT @camiskbello: Eu to rindo MUITO da cara  que a Camila vira quando escuta que música o menino começou a tocar aposto que na cabeça dela p…,@camiskbello
1876100586644603065,"RT @elcocohuahua: los old school  en el chopo #musica #ska #mexico #cdmx #edomex #MetroCDMX @radiothefliesof @rafaelcafre
https://t.co/vAnP…",@elcocohuahua
1876100590516007278,"@henytter Luísa não lança música há mais de 3 meses, não é como se ela lançasse música todo mês estragando a discografia igual a Anitta faz pra tentar hitar",False
1876100601727394280,antigamente eu pensava tanto q eu queria alguém pra poder dedicar Juntos Até o Fim e hoje escutando a música depois de tempos eu percebi que eu finalmente tenho esse alguém 🥹 🐈‍⬛🛒,False
1876100604734603578,"RT @elcocohuahua: los indepistos  en el chopo #musica #ska #mexico #cdmx #edomex #MetroCDMX @radiothefliesof @rafaelcafre
https://t.co/8Sla…",@elcocohuahua
1876100605221220708,"@tobizao1 Me contaram

Eu coloquei qnd levantei pra ir mijar 

Mas eu tenho real 0 lembranças de escrever isso ou até mesmo ouvir a música",False
1876100606131425595,"RT @monterogabriela: ¿Que El Sistema no es político? ¿Que el Sistema es ¨luz, música y cultura ¨?

El que no reconozca la verdad de lo que…",@monterogabriela
1876100607607820310,@ivantrindademjr GRAVE ela já chegou sim além disso! tem uma música chamada substance! #stream https://t.co/rOm46i0ARu,False
1876100609386102975,"RT @biobio: Lucybell anuncia receso indefinido después de 34 años de carrera
https://t.co/VPxDnVLDkL",@biobio
1876100614989779126,"RT @NiaRjejem: @mister_discock El que es fan de solo rock nacional es el peor de todos, siempre escucha lo mismo y actúa como un fundamenta…",@NiaRjejem
1876100620912046543,hoje o shawn mendes faz música https://t.co/zroJqoCa84,False
1876100624573706543,Fui colocar música triste para chorar e começou a tocar “ Farra da ana ” não consegui ficar mais parada chorando 🙄 https://t.co/xzj9lET5XJ,False
1876100628117930434,"RT @theneedlemaria: Genio: si presionas este bot-
Yo: de donde viene esa musica-
Genio: CALLATE, Si presionas este boton ganaras mil dolare…",@theneedlemaria
1876100637827756468,coloca um . que eu digo que musica combina com vc https://t.co/aNPwtyXgiB,False
1876100641023782966,"RT @soaresnkt: Ouvi essa música e lembrei delas na hora kkk
#beadassa 
[@beatrizvlr @iamnotyak_ ] https://t.co/WoskkDnp9q",@soaresnkt
1876100641061581105,só postar vídeo com música assim no tt isso me define como pessoa,False
1876100642303025230,RT @Mattlockss: No quiero coger flaco quiero que nos tomemos 5 fernets mientras jugamos al tutti frutti y te rompo bien el orto  por puntos…,@Mattlockss
1876100642886054085,"RT @CR7Brasil: namoral, tem que ser muito VIADO pra falar que essa musica aqui é ruim",@CR7Brasil
1876100646543442202,"RT @wonderbrie: Te amo, Helena. 

MAS DURANTE ESSA MÚSICA???? DURANTE ESSA MÚSICA NÃO. Fiquei chateada.  https://t.co/mBlM0FCj2i",@wonderbrie
1876100647466238244,"@CrybabyMarieh Entendi o papo do in the court. O pior que eu me relato com esse papo do We're Only In It For The Money pq ele já conseguiu me deixar desconfortável p krl tb. Parece que tem algo de errado na música que dá essa sensação ruim pra mim. É um pouco macabro, principalmente nas vozes.",False
1876100650167369893,RT @badbunnynetwork: Bad Bunny sube al balcón de la Casa Histórica de la Música en Cayey para saludar a la gente. ❤️‍🔥🇵🇷 https://t.co/QrZic…,@badbunnynetwork
1876100653711507696,Solo soy el reflejo de la música que escucho,False
1876100656173629940,"RT @katchangelt: sete anos atrás liam payne e rita ora entregaram um dos melhores feat que já vi

entregaram tesão, beleza, talento, voz im…",@katchangelt
1876100656320393486,eu só queria ser uma pessoa feliz cantar minha música,False
1876100662909694228,"RT @CR7Brasil: namoral, tem que ser muito VIADO pra falar que essa musica aqui é ruim",@CR7Brasil
1876100663974957397,"@VQUESTOFICIAL A música “Cálice” é uma canção com muitas metáforas, nas quais Chico Buarque e Gilberto Gil usaram para contar sobre a situação em que a sociedade vivia durante a ditadura militar. Na canção eles expressam o desejo de se livrar das desigualdades sociais no Brasil nesse período 🤓",False
1876100665497579845,RT @Mattlockss: No quiero coger flaco quiero que nos tomemos 5 fernets mientras jugamos al tutti frutti y te rompo bien el orto  por puntos…,@Mattlockss
1876100666420232197,"Lo más bonito de nuevo álbum de Bad Bunny, es cuando lo quitas para poner música de @iskandermusic 😉😂🎶",False
1876100666814521347,"@AshLynx587319 Não fica com raiva dele 😭😭😭😭 a culpa é da autora que coloca cenas do passado deles, não é só o mafuyu q fica nessa, o amg dele vive lembrando do defunto tbm, e ela fez o Ueno terminar a música do Yuki ☠️
MAFUYU NÃO TEM CULPA",False
1876100671424127362,"já escolhi minha música do carnaval de salvador, até então não vi nada melhor que “vetinha” de tony sales",False
1876100672082567446,RT @lailactose: amo ser fiel e escutar música de vagabundo safado,@lailactose
1876100673064022387,"RT @CR7Brasil: namoral, tem que ser muito VIADO pra falar que essa musica aqui é ruim",@CR7Brasil
1876100673588334662,"que porra de cena é essa, atuação ruim da porra, volta a fazer remix de música https://t.co/pBTv5Zzt1x",False
1876100673852596364,"RT @d2mnbfBJt1r8OoU: #音楽 #歌 #ラジオ #歌手 #邦ロック #ライブ #70s #rock #coversong #goodmusic #worldmusic #music #musica #musik #songs

#FMHO #FMHOPE #ネ…",@d2mnbfBJt1r8OoU
1876100679376462279,"Esq imagínate sacar un álbum con indirectas para todas tus exs???? completamente loco pero buf espléndida música pa mis oídos 💕💕💕💕
Te adoro badbu🥲",False
1876100680446025918,RT @pbeilsh: um fato: halley's comet é sim a música mais romântica de toda a carreira da billie https://t.co/Yw32ovvJRn,@pbeilsh
1876100680467067145,"RT @sissygermanotta: Pouco se fala dessa música, mas ela é MUITO boa https://t.co/rSVszl4ewE",@sissygermanotta
1876100681469485325,"RT @CR7Brasil: namoral, tem que ser muito VIADO pra falar que essa musica aqui é ruim",@CR7Brasil
1876100682870329685,@wowonderder Que música é essa???,False
1876100683700809772,"@Tavape7 @eduardomenoni @FabiolaPg5 🫠Aquí está tu mierda de disque música 🤢🤮🤮
https://t.co/KS9nhSjx96",False
1876100685915439469,kakakakakaa eu li o livro dessa música... https://t.co/rEGLJsgtse,False
